x,y,z
481.0,244.0,5716.3438
482.0,244.0,5714.928
483.0,244.0,5715.2314
484.0,244.0,5716.9277
485.0,244.0,5717.1216
486.0,244.0,5716.5044
487.0,244.0,5718.0283
488.0,244.0,5719.027
489.0,244.0,5719.1714
490.0,244.0,5719.0205
491.0,244.0,5718.5947
492.0,244.0,5718.3687
493.0,244.0,5717.8438
494.0,244.0,5716.957
495.0,244.0,5715.9937
496.0,244.0,5715.886
497.0,244.0,5716.159
498.0,244.0,5716.734
499.0,244.0,5716.761
500.0,244.0,5715.9834
501.0,244.0,5715.042
502.0,244.0,5715.3296
503.0,244.0,5715.9287
504.0,244.0,5716.538
505.0,244.0,5717.3022
506.0,244.0,5717.364
507.0,244.0,5717.0293
508.0,244.0,5716.6265
509.0,244.0,5715.719
510.0,244.0,5715.592
511.0,244.0,5715.663
512.0,244.0,5715.7046
513.0,244.0,5715.502
514.0,244.0,5716.0527
515.0,244.0,5716.893
516.0,244.0,5716.604
517.0,244.0,5716.38
518.0,244.0,5716.9204
519.0,244.0,5717.8657
520.0,244.0,5718.0264
521.0,244.0,5717.6025
522.0,244.0,5717.072
523.0,244.0,5716.704
524.0,244.0,5716.5205
525.0,244.0,5716.182
526.0,244.0,5715.5776
527.0,244.0,5715.4775
528.0,244.0,5716.7427
529.0,244.0,5717.273
530.0,244.0,5715.713
531.0,244.0,5713.6826
532.0,244.0,5713.808
533.0,244.0,5713.5283
534.0,244.0,5712.172
535.0,244.0,5710.4683
536.0,244.0,5712.281
537.0,244.0,5713.3584
538.0,244.0,5714.109
539.0,244.0,5714.2993
540.0,244.0,5714.2383
541.0,244.0,5715.1084
542.0,244.0,5714.9995
543.0,244.0,5714.251
544.0,244.0,5714.1006
545.0,244.0,5713.6675
546.0,244.0,5714.014
547.0,244.0,5714.164
548.0,244.0,5713.8794
549.0,244.0,5713.3706
550.0,244.0,5712.9756
551.0,244.0,5713.3623
552.0,244.0,5714.0034
553.0,244.0,5715.1777
554.0,244.0,5716.3057
555.0,244.0,5715.761
556.0,244.0,5715.694
557.0,244.0,5715.8096
558.0,244.0,5714.602
559.0,244.0,5713.399
560.0,244.0,5712.2783
561.0,244.0,5710.7754
562.0,244.0,5709.723
563.0,244.0,5709.5947
564.0,244.0,5709.5547
565.0,244.0,5710.687
566.0,244.0,5711.681
567.0,244.0,5710.795
568.0,244.0,5709.609
569.0,244.0,5709.4907
570.0,244.0,5709.8516
571.0,244.0,5710.9346
572.0,244.0,5711.6187
573.0,244.0,5711.6035
574.0,244.0,5711.8125
575.0,244.0,5711.561
576.0,244.0,5711.4937
577.0,244.0,5712.878
578.0,244.0,5713.517
579.0,244.0,5713.106
580.0,244.0,5713.037
581.0,244.0,5712.8857
582.0,244.0,5712.2856
583.0,244.0,5712.758
584.0,244.0,5712.8936
585.0,244.0,5711.478
586.0,244.0,5710.5103
587.0,244.0,5710.8506
588.0,244.0,5712.227
589.0,244.0,5713.728
590.0,244.0,5714.3945
591.0,244.0,5715.3857
592.0,244.0,5716.321
593.0,244.0,5715.865
594.0,244.0,5714.547
595.0,244.0,5714.053
596.0,244.0,5714.0493
597.0,244.0,5713.912
598.0,244.0,5713.232
599.0,244.0,5712.6987
250.0,243.0,5680.7227
251.0,243.0,5678.5884
252.0,243.0,5681.649
253.0,243.0,5684.6875
254.0,243.0,5687.578
255.0,243.0,5689.9546
256.0,243.0,5689.949
257.0,243.0,5690.7393
258.0,243.0,5690.276
259.0,243.0,5688.4526
260.0,243.0,5687.118
261.0,243.0,5687.07
262.0,243.0,5688.2886
263.0,243.0,5690.424
264.0,243.0,5691.3955
265.0,243.0,5690.4653
266.0,243.0,5689.257
267.0,243.0,5687.868
268.0,243.0,5687.27
269.0,243.0,5687.733
270.0,243.0,5688.865
271.0,243.0,5688.939
272.0,243.0,5688.7446
273.0,243.0,5688.051
274.0,243.0,5686.6816
275.0,243.0,5686.9546
276.0,243.0,5687.289
277.0,243.0,5687.676
278.0,243.0,5687.0513
279.0,243.0,5687.1646
280.0,243.0,5688.745
281.0,243.0,5689.1147
282.0,243.0,5688.938
283.0,243.0,5688.374
284.0,243.0,5689.8623
285.0,243.0,5691.397
286.0,243.0,5692.4033
287.0,243.0,5692.7197
288.0,243.0,5692.5815
289.0,243.0,5693.859
290.0,243.0,5697.1553
291.0,243.0,5696.5493
292.0,243.0,5696.1333
293.0,243.0,5696.408
294.0,243.0,5696.7383
295.0,243.0,5696.681
296.0,243.0,5696.5684
297.0,243.0,5696.506
298.0,243.0,5697.2134
299.0,243.0,5697.8345
300.0,243.0,5697.703
301.0,243.0,5697.7437
302.0,243.0,5698.5493
303.0,243.0,5699.626
304.0,243.0,5702.8594
305.0,243.0,5700.5884
306.0,243.0,5698.0127
307.0,243.0,5696.163
308.0,243.0,5695.183
309.0,243.0,5693.636
310.0,243.0,5694.884
311.0,243.0,5697.1353
312.0,243.0,5698.3667
313.0,243.0,5698.79
314.0,243.0,5699.4863
315.0,243.0,5700.817
316.0,243.0,5702.158
317.0,243.0,5702.8896
318.0,243.0,5703.312
319.0,243.0,5704.1304
320.0,243.0,5704.1787
321.0,243.0,5706.555
322.0,243.0,5704.4644
323.0,243.0,5702.4746
324.0,243.0,5701.657
